game_date,home_team,away_team,home_win_prob,ml_pred,actual_win,ml_correct,predicted_total,actual_total,ou_error,home_covers_prob,rl_pred,actual_rl,rl_correct
2024-04-14,TB,SF,0.4667,0,1,0,9.45,13.0,-3.55,0.3295,0,1,0
2024-04-15,TOR,NYY,0.4667,0,1,0,8.85,4.0,4.85,0.2453,0,1,0
2024-04-15,HOU,ATL,0.6842,1,0,0,9.83,7.0,2.83,0.3529,0,0,1
2024-04-15,AZ,CHC,0.4947,0,0,1,8.43,5.0,3.43,0.3295,0,0,1
2024-04-15,OAK,STL,0.5233,1,0,0,8.85,4.0,4.85,0.5315,1,0,0
2024-04-15,SEA,CIN,0.5814,1,1,1,7.48,12.0,-4.52,0.3529,0,1,0
2024-04-15,MIL,SD,0.5233,1,0,0,9.23,10.0,-0.77,0.2453,0,0,1
2024-04-15,CWS,KC,0.3657,0,0,1,12.56,2.0,10.56,0.1356,0,0,1
2024-04-15,NYM,PIT,0.4667,0,1,0,10.01,9.0,1.01,0.3295,0,1,0
2024-04-15,TB,LAA,0.5814,1,0,0,8.01,10.0,-1.99,0.5315,1,0,0
2024-04-15,LAD,WSH,0.5364,1,0,0,9.89,10.0,-0.11,0.5315,1,0,0
2024-04-15,PHI,COL,0.5814,1,1,1,7.58,3.0,4.58,0.5315,1,0,0
2024-04-15,DET,TEX,0.4947,0,0,1,7.05,1.0,6.05,0.2941,0,0,1
2024-04-15,BAL,MIN,0.5814,1,1,1,11.72,11.0,0.72,0.3529,0,1,0
2024-04-15,BOS,CLE,0.5364,1,0,0,10.76,6.0,4.76,0.3125,0,0,1
2024-04-15,MIA,SF,0.4667,0,0,1,9.82,7.0,2.82,0.3125,0,0,1
2024-04-16,LAD,WSH,0.5814,1,1,1,10.53,8.0,2.53,0.5315,1,1,1
2024-04-16,OAK,STL,0.4667,0,0,1,8.94,5.0,3.94,0.3125,0,0,1
2024-04-16,SEA,CIN,0.4947,0,1,0,6.78,4.0,2.78,0.3295,0,1,0
2024-04-16,AZ,CHC,0.3657,0,1,0,12.3,23.0,-10.7,0.3125,0,0,1
2024-04-16,HOU,ATL,0.3657,0,0,1,8.0,8.0,0.0,0.2453,0,0,1
2024-04-16,MIL,SD,0.4947,0,0,1,9.1,9.0,0.1,0.2941,0,0,1
2024-04-16,NYM,PIT,0.5814,1,1,1,8.59,4.0,4.59,0.3529,0,1,0
2024-04-16,BOS,CLE,0.5814,1,0,0,7.76,17.0,-9.24,0.3295,0,0,1
2024-04-16,TOR,NYY,0.4667,0,1,0,8.38,9.0,-0.62,0.2453,0,0,1
2024-04-16,MIA,SF,0.5233,1,1,1,8.19,9.0,-0.81,0.3119,0,1,0
